Test time, Test, Node, Response Time, Error
03 Mar 2014 11:10:18.753, gskbio-akamai-sbhardwa - FF Agent,Barcelona  ES - Adam,1.224,
03 Mar 2014 11:10:28.953, gskbio-origin-sbhardwa - FF Agent,Barcelona  ES - Adam,1.284,
03 Mar 2014 11:10:35.087, gskbio-akamai-sbhardwa - FF Agent,Madrid  Spain - Orange,0.336,
03 Mar 2014 11:10:35.397, gskbio-origin-sbhardwa - FF Agent,Madrid  Spain - Orange,5.125,
03 Mar 2014 11:10:35.477, gskbio-akamai-sbhardwa - FF Agent,Perth - Telstra,3.341,
03 Mar 2014 11:10:38.533, gskbio-origin-sbhardwa - FF Agent,Munich  Germany - Telefonica,0.593,
03 Mar 2014 11:10:38.537, gskbio-akamai-sbhardwa - FF Agent,Munich  Germany - Telefonica,0.396,
03 Mar 2014 11:10:39.230, gskbio-akamai-sbhardwa - FF Agent,Barcelona  ES - Adam - IPv6,0.449,
03 Mar 2014 11:10:39.230, gskbio-origin-sbhardwa - FF Agent,Barcelona  ES - Adam - IPv6,1.214,
03 Mar 2014 11:10:39.597, gskbio-origin-sbhardwa - FF Agent,Bangalore  India - TATA (VSNL),2.809,
03 Mar 2014 11:10:39.677, gskbio-akamai-sbhardwa - FF Agent,Bangalore  India - TATA (VSNL),2.062,
03 Mar 2014 11:10:40.030, gskbio-akamai-sbhardwa - FF Agent,Paris  France - Limelight,0.358,
03 Mar 2014 11:10:40.057, gskbio-origin-sbhardwa - FF Agent,Paris  France - Limelight,0.446,
03 Mar 2014 11:10:40.060, gskbio-origin-sbhardwa - FF Agent,Washington  D.C. - Verizon,5.429,
03 Mar 2014 11:10:40.193, gskbio-akamai-sbhardwa - FF Agent,Washington  D.C. - Verizon,0.897,
03 Mar 2014 11:10:41.283, gskbio-origin-sbhardwa - FF Agent,Berlin  Germany - Versatel,0.512,
03 Mar 2014 11:10:41.287, gskbio-akamai-sbhardwa - FF Agent,Berlin  Germany - Versatel,0.413,
03 Mar 2014 11:10:41.520, gskbio-akamai-sbhardwa - FF Agent,London  UK - Cable & Wireless,0.127,
03 Mar 2014 11:10:41.577, gskbio-origin-sbhardwa - FF Agent,London  UK - Cable & Wireless,0.150,
03 Mar 2014 11:10:41.910, gskbio-origin-sbhardwa - FF Agent,Rome  Italy - ITnet,3.128,
03 Mar 2014 11:10:41.967, gskbio-akamai-sbhardwa - FF Agent,Rome  Italy - ITnet,0.534,
03 Mar 2014 11:10:42.113, gskbio-akamai-sbhardwa - FF Agent,Boston  MA - Savvis,0.982,
03 Mar 2014 11:10:42.160, gskbio-origin-sbhardwa - FF Agent,Boston  MA - Savvis,1.673,
03 Mar 2014 11:10:42.820, gskbio-akamai-sbhardwa - FF Agent,Madrid  Spain - Telefonica,0.320,
03 Mar 2014 11:10:42.867, gskbio-origin-sbhardwa - FF Agent,Madrid  Spain - Telefonica,1.866,
03 Mar 2014 11:10:44.020, gskbio-akamai-sbhardwa - FF Agent,London  UK - Verizon,0.450,
03 Mar 2014 11:10:44.020, gskbio-origin-sbhardwa - FF Agent,London  UK - Verizon,1.306,
03 Mar 2014 11:10:44.363, gskbio-origin-sbhardwa - FF Agent,London  UK - Telstra,0.585,
03 Mar 2014 11:10:45.303, gskbio-origin-sbhardwa - FF Agent,Tokyo  Japan - NTT,5.490,
03 Mar 2014 11:10:45.340, gskbio-akamai-sbhardwa - FF Agent,Tokyo  Japan - NTT,2.047,
03 Mar 2014 11:10:45.573, gskbio-origin-sbhardwa - FF Agent,Perth - Telstra,5.695,
03 Mar 2014 11:10:46.390, gskbio-akamai-sbhardwa - FF Agent,London  UK - Telstra,0.328,
03 Mar 2014 11:10:52.867, gskbio-origin-sbhardwa - FF Agent,Atlanta  GA - Verizon,2.209,
03 Mar 2014 11:10:52.897, gskbio-akamai-sbhardwa - FF Agent,Tokyo  Japan - KDDI,1.711,
03 Mar 2014 11:10:53.060, gskbio-origin-sbhardwa - FF Agent,Tokyo  Japan - KDDI,5.125,
03 Mar 2014 11:10:54.350, gskbio-akamai-sbhardwa - FF Agent,Paris  France - France Telecom,0.216,
03 Mar 2014 11:10:54.350, gskbio-origin-sbhardwa - FF Agent,Paris  France - France Telecom,0.324,
03 Mar 2014 11:11:02.250, gskbio-origin-sbhardwa - FF Agent,Sydney  Australia - Telstra,2.795,
03 Mar 2014 11:11:02.267, gskbio-akamai-sbhardwa - FF Agent,Sydney  Australia - Telstra,2.123,
03 Mar 2014 11:11:10.383, gskbio-origin-sbhardwa - FF Agent,Los Angeles  CA - Verizon,2.136,
03 Mar 2014 11:11:10.400, gskbio-akamai-sbhardwa - FF Agent,Los Angeles  CA - Verizon,1.291,
03 Mar 2014 11:11:17.793, gskbio-akamai-sbhardwa - FF Agent,Atlanta  GA - Verizon,0.838,
03 Mar 2014 11:11:21.677, gskbio-akamai-sbhardwa - FF Agent,San Jose  CA - Verizon,2.297,
03 Mar 2014 11:11:22.263, gskbio-akamai-sbhardwa - FF Agent,Singapore  Singapore - Singtel,1.988,
03 Mar 2014 11:11:22.263, gskbio-origin-sbhardwa - FF Agent,Singapore  Singapore - Singtel,4.116,
03 Mar 2014 11:11:32.033, gskbio-origin-sbhardwa - FF Agent,San Jose  CA - Verizon,3.536,
03 Mar 2014 11:11:44.940, gskbio-origin-sbhardwa - FF Agent,New York  NY - Sprint,1.085,
03 Mar 2014 11:11:45.997, gskbio-akamai-sbhardwa - FF Agent,New York  NY - Sprint,0.574,
03 Mar 2014 11:12:15.107, gskbio-akamai-sbhardwa - FF Agent,Dallas  TX - AT&T,1.138,
03 Mar 2014 11:12:15.213, gskbio-origin-sbhardwa - FF Agent,Dallas  TX - AT&T,1.838,
03 Mar 2014 11:12:24.547, gskbio-origin-sbhardwa - FF Agent,Mesa  AZ - AT&T,1.960,
03 Mar 2014 11:12:34.813, gskbio-akamai-sbhardwa - FF Agent,Mesa  AZ - AT&T,1.165,
03 Mar 2014 11:12:39.237, gskbio-akamai-sbhardwa - FF Agent,Melbourne  AU - Intervolve,2.235,
03 Mar 2014 11:12:39.237, gskbio-origin-sbhardwa - FF Agent,Melbourne  AU - Intervolve,5.763,
03 Mar 2014 12:10:25.387, gskbio-akamai-sbhardwa - FF Agent,Barcelona  ES - Adam,0.443,
03 Mar 2014 12:10:35.533, gskbio-origin-sbhardwa - FF Agent,Barcelona  ES - Adam,1.113,
03 Mar 2014 12:10:45.743, gskbio-akamai-sbhardwa - FF Agent,Madrid  Spain - Orange,0.290,
03 Mar 2014 12:10:45.900, gskbio-akamai-sbhardwa - FF Agent,Barcelona  ES - Adam - IPv6,0.473,
03 Mar 2014 12:10:46.183, gskbio-akamai-sbhardwa - FF Agent,Perth - Telstra,2.448,
03 Mar 2014 12:10:46.820, gskbio-origin-sbhardwa - FF Agent,Madrid  Spain - Orange,0.832,
03 Mar 2014 12:10:48.833, gskbio-origin-sbhardwa - FF Agent,Boston  MA - Savvis,1.085,
03 Mar 2014 12:10:48.867, gskbio-akamai-sbhardwa - FF Agent,Boston  MA - Savvis,0.857,
03 Mar 2014 12:10:49.007, gskbio-akamai-sbhardwa - FF Agent,Munich  Germany - Telefonica,0.930,
03 Mar 2014 12:10:49.190, gskbio-origin-sbhardwa - FF Agent,Munich  Germany - Telefonica,0.822,
03 Mar 2014 12:10:50.753, gskbio-origin-sbhardwa - FF Agent,Bangalore  India - TATA (VSNL),2.918,
03 Mar 2014 12:10:50.780, gskbio-akamai-sbhardwa - FF Agent,Bangalore  India - TATA (VSNL),2.121,
03 Mar 2014 12:10:51.107, gskbio-origin-sbhardwa - FF Agent,Paris  France - Limelight,0.467,
03 Mar 2014 12:10:51.110, gskbio-akamai-sbhardwa - FF Agent,Paris  France - Limelight,0.205,
03 Mar 2014 12:10:52.567, gskbio-akamai-sbhardwa - FF Agent,London  UK - Cable & Wireless,0.136,
03 Mar 2014 12:10:52.567, gskbio-origin-sbhardwa - FF Agent,London  UK - Cable & Wireless,0.263,
03 Mar 2014 12:10:52.677, gskbio-akamai-sbhardwa - FF Agent,Rome  Italy - ITnet,0.687,
03 Mar 2014 12:10:52.697, gskbio-origin-sbhardwa - FF Agent,Rome  Italy - ITnet,0.756,
03 Mar 2014 12:10:52.707, gskbio-origin-sbhardwa - FF Agent,Berlin  Germany - Versatel,0.868,
03 Mar 2014 12:10:52.820, gskbio-akamai-sbhardwa - FF Agent,Berlin  Germany - Versatel,0.719,
03 Mar 2014 12:10:53.460, gskbio-akamai-sbhardwa - FF Agent,Madrid  Spain - Telefonica,0.949,
03 Mar 2014 12:10:53.483, gskbio-origin-sbhardwa - FF Agent,Madrid  Spain - Telefonica,1.279,
03 Mar 2014 12:10:55.323, gskbio-origin-sbhardwa - FF Agent,London  UK - Telstra,0.386,
03 Mar 2014 12:10:55.330, gskbio-akamai-sbhardwa - FF Agent,London  UK - Telstra,0.345,
03 Mar 2014 12:10:56.317, gskbio-origin-sbhardwa - FF Agent,Perth - Telstra,8.408,
03 Mar 2014 12:10:56.873, gskbio-origin-sbhardwa - FF Agent,Tokyo  Japan - NTT,4.271,
03 Mar 2014 12:10:56.887, gskbio-akamai-sbhardwa - FF Agent,Tokyo  Japan - NTT,1.684,
03 Mar 2014 12:10:58.143, gskbio-origin-sbhardwa - FF Agent,Barcelona  ES - Adam - IPv6,0.760,
